Zipcode,ZoneName,Small,Medium,Large,ShippingClass,,,ZipZoneID,ZipCode,ZoneID,ShippingClass,ZoneName
1775,5,37,65,83,No Shipping Class Assigned,,,,,,,
1776,5,37,65,83,No Shipping Class Assigned,,,,,,,
1778,5,37,65,83,No Shipping Class Assigned,,,,,,,
1784,5,37,65,83,No Shipping Class Assigned,,,,,,,
1801,5,37,65,83,No Shipping Class Assigned,,,,,,,
1803,5,37,65,83,No Shipping Class Assigned,,,,,,,
1805,5,37,65,83,No Shipping Class Assigned,,,,,,,
1806,5,37,65,83,No Shipping Class Assigned,,,,,,,
1807,5,37,65,83,No Shipping Class Assigned,,,,,,,
1808,5,37,65,83,No Shipping Class Assigned,,,,,,,
1810,5,37,65,83,No Shipping Class Assigned,,,,,,,
1812,5,37,65,83,No Shipping Class Assigned,,,,,,,
1813,5,37,65,83,No Shipping Class Assigned,,,,,,,
1814,5,37,65,83,No Shipping Class Assigned,,,,,,,
1815,5,37,65,83,No Shipping Class Assigned,,,,,,,
1821,5,37,65,83,No Shipping Class Assigned,,,,,,,
1822,5,37,65,83,No Shipping Class Assigned,,,,,,,
1824,5,37,65,83,No Shipping Class Assigned,,,,,,,
1826,5,37,65,83,No Shipping Class Assigned,,,,,,,
1827,5,37,65,83,No Shipping Class Assigned,,,,,,,
1830,5,37,65,83,No Shipping Class Assigned,,,,,,,
1831,5,37,65,83,No Shipping Class Assigned,,,,,,,
1832,5,37,65,83,No Shipping Class Assigned,,,,,,,
1833,5,37,65,83,No Shipping Class Assigned,,,,,,,
1834,5,37,65,83,No Shipping Class Assigned,,,,,,,
1835,5,37,65,83,No Shipping Class Assigned,,,,,,,
1840,5,37,65,83,No Shipping Class Assigned,,,,,,,
1841,5,37,65,83,No Shipping Class Assigned,,,,,,,
1842,5,37,65,83,No Shipping Class Assigned,,,,,,,
1843,5,37,65,83,No Shipping Class Assigned,,,,,,,
1844,5,37,65,83,No Shipping Class Assigned,,,,,,,
1845,5,37,65,83,No Shipping Class Assigned,,,,,,,
1850,5,37,65,83,No Shipping Class Assigned,,,,,,,
1851,5,37,65,83,No Shipping Class Assigned,,,,,,,
1852,5,37,65,83,No Shipping Class Assigned,,,,,,,
1853,5,37,65,83,No Shipping Class Assigned,,,,,,,
1854,5,37,65,83,No Shipping Class Assigned,,,,,,,
1860,5,37,65,83,No Shipping Class Assigned,,,,,,,
